Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,GA Sessions,GA % New Sessions,GA Users,GA New Users,GA Bounce Rate,GA Page Views Per Session,GA Avg Session Duration,GA Goal Conversion Rate All,GA Goal Completions All,GA Goal Value All,GA Page Value,Clicks,Impressions,CTR,Position,Majestic External Backlinks - URL (Exact URL),Majestic Referring Domains - URL (Exact URL),Majestic Trust Flow - URL (Exact URL),Majestic Citation Flow - URL (Exact URL),Ahrefs Backlinks - Exact,Ahrefs RefDomains - Exact,Ahrefs URL Rating - Exact,Ahrefs NoFollow - Exact,Ahrefs DoFollow - Exact,Ahrefs Redirect - Exact,URL Encoded Address,Crawl Timestamp
https://www.domain.com/products/category-4/,text/html; charset=UTF-8,200,OK,Indexable,,,23,217,,0,0,,0,,11,,0,,6,,10,,,,,,,,,,138816,68,2.378,5,1,5,1,0,0.74,35,28,0,15,10,0,,,,,,0.325,,,,,1.1,22,100,22,22,27.27,3.18,00:01:59,145.45,32,3,0.32,23,606,0.038,7.86,2,2,4,10,9,3,12,9,0,0,,2021-11-12 12:34:20
https://www.domain.com/products/category-4/1,text/html; charset=UTF-8,200,OK,Indexable,,,99,907,,152,941,,218,,87,,0,,6,,10,,,,,,,,,,197909,496,3.112,3,11,24,13,0,9.56,44,33,0,20,15,0,,,,,,0.098,,,,,1.1,194,85.05,182,165,51.55,1.93,00:01:19,169.59,329,41,0.66,207,5475,0.038,31.23,7,6,8,22,9,9,16,7,1,0,,2021-11-12 12:33:38
https://www.domain.com/products/category-5/,text/html; charset=UTF-8,200,OK,Indexable,,,23,237,,0,0,,0,,11,,0,,6,,10,,,,,,,,,,136803,59,2.375,5,1,5,1,0,0.74,35,28,0,15,10,0,,,,,,0.456,,,,,1.1,2,100,2,2,0,3,00:00:44,250,5,0,0,0,10,0,36.7,1,1,0,0,4,1,9,4,0,0,,2021-11-12 12:34:20
https://www.domain.com/products/category-5/1,text/html; charset=UTF-8,200,OK,Indexable,,,57,552,,153,987,,0,,45,,0,,6,,10,,,,,,,,,,189929,437,3.038,3,10,32,14,0,10.29,43,32,0,20,15,0,,,,,,0.425,,,,,1.1,68,80.88,62,55,50,1.29,00:00:31,148.53,101,15,0.6,57,1870,0.03,15.49,4,4,9,19,12,12,17,11,0,0,,2021-11-12 12:33:23
https://www.domain.com/products/category-6/,text/html; charset=UTF-8,200,OK,Indexable,,,23,223,,0,0,,0,,11,,0,,6,,10,,,,,,,,,,137158,62,2.371,5,1,5,1,0,0.74,35,28,0,15,10,0,,,,,,0.651,,,,,1.1,7,100,7,7,42.86,2.71,00:01:27,114.29,8,0,0,8,211,0.038,8.86,0,0,4,9,5,3,12,5,0,0,,2021-11-12 12:34:20
https://www.domain.com/products/category-6/1,text/html; charset=UTF-8,200,OK,Indexable,,,72,656,,153,953,,70,,60,,0,,6,,10,,,,,,,,,,197551,543,3.164,3,8,25,13,0,9.56,44,33,0,20,15,0,,,,,,0.716,,,,,1.1,52,75,49,39,59.62,1.67,00:00:53,142.31,74,3,0.13,42,1539,0.027,21.24,1,1,9,21,9,5,14,7,0,0,,2021-11-12 12:33:20
https://www.domain.com/products/category-7/,text/html; charset=UTF-8,200,OK,Indexable,,,19,177,,23,150,,0,,7,,0,,6,,10,,,,,,,,,,167304,270,2.712,2,98,142,136,0,100,44,36,0,15,10,0,,,,,,0.223,,,,,1.1,174,32.76,157,57,41.38,2.76,00:02:00,126.44,220,13,0.18,44,15975,0.003,8.24,11,6,15,33,13,5,13,12,0,0,,2021-11-12 12:33:13
https://www.domain.com/products/category-7/1,text/html; charset=UTF-8,200,OK,Indexable,,,36,311,,152,926,,56,,24,,0,,6,,10,,,,,,,,,,187205,463,3.1,3,6,16,8,0,5.88,42,31,0,20,15,0,,,,,,0.397,,,,,1.1,30,70,30,21,30,1.6,00:02:14,170,51,2,0.2,27,3834,0.007,48.71,2,2,9,20,7,6,15,4,1,0,,2021-11-12 12:33:36
https://www.domain.com/products/category-7/2,text/html; charset=UTF-8,200,OK,Indexable,,,47,433,,154,921,,41,,35,,0,,6,,10,,,,,,,,,,186943,467,3.109,3,6,16,8,0,5.88,42,31,0,20,15,0,,,,,,0.356,,,,,1.1,32,84.38,31,27,43.75,2.28,00:02:38,168.75,54,4,0.46,31,3179,0.01,55.11,4,4,9,17,8,7,15,6,0,0,,2021-11-12 12:33:29
https://www.domain.com/products/category-7/3,text/html; charset=UTF-8,200,OK,Indexable,,,58,531,,149,896,,53,,46,,0,,6,,10,,,,,,,,,,187301,461,3.139,3,6,16,8,0,5.88,42,31,0,20,15,0,,,,,,0.425,,,,,1.1,47,68.09,42,32,46.81,2.13,00:02:40,168.09,79,6,0.27,57,1666,0.034,31.4,4,4,9,20,9,8,16,7,0,0,,2021-11-12 12:33:22
